analysis_id	script	current_dynamic_behavior	frozen_input_identity	frozen_input_sha256	public_input_source	resolution	status
A047	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	L13: assert not (ROOT/'03_primary/PTPN22_AF35_PATIENT_COUPLING_DECOMPOSITION.tsv').exists(),'Do not silently overwrite effects'	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A047	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A048	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A048	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A049	scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	L3: assert not (Q/'PROJECTION_COMPLETION.json').exists()	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A049	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A050	scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A050	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
A051	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A051	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A052	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A052	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A053	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A053	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A054	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A054	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A055	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	L10: assert not (ROOT/'11_checkpoint/FINAL_GATES.json').exists()	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A055	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A056	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A056	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A057	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	L4: assert not (OUT/'WU_AF35_DC_CD8_TOPOLOGY_FREEZE_LOCK.json').exists(),'Do not overwrite an existing protocol freeze' | L31: if folder.exists():protected.update(p for p in folder.rglob('*') if p.is_file()) | L64: for p in folder.rglob('*'):	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A057	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A058	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	L6: assert not (OUT/'QA/OUTCOME_START.json').exists(),'Do not silently rerun frozen topology analysis'	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A058	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A059	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A059	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
